courseYear(ac,1).
courseYear(am1,1).
courseYear(amiie,1).
courseYear(md,1).
courseYear(poo,1).
courseYear(lap,2).
courseYear(ped,2).
courseYear(tc,2).
courseYear(ada,3).
courseYear(sd,3).
courseYear(ap,4).
courseYear(aspi,4).
courseYear(bd,2).
courseYear(cp,4).
courseYear(csd,4).
courseYear(icl,4).
courseYear(js,4).
courseYear(mad,4).
courseYear(mpdw,4).
courseYear(ms,4).
courseYear(msp,4).
courseYear(onl,4).
courseYear(pad,4).
courseYear(pstr,4).
courseYear(ras,4).
courseYear(scmu,4).
courseYear(tjc,4).
courseYear(vad,4).
enrolled(ac,7).
enrolled(am1,2).
enrolled(amiie,30).
enrolled(md,5).
enrolled(poo,3).
enrolled(lap,6).
enrolled(ped,13).
enrolled(tc,27).
enrolled(ada,50).
enrolled(sd,65).
enrolled(ap,42).
enrolled(aspi,156).
enrolled(bd,23).
enrolled(cp,88).
enrolled(csd,16).
enrolled(icl,101).
enrolled(js,53).
enrolled(mad,1).
enrolled(mpdw,33).
enrolled(ms,1).
enrolled(msp,76).
enrolled(onl,1).
enrolled(pad,16).
enrolled(pstr,23).
enrolled(ras,26).
enrolled(scmu,66).
enrolled(tjc,24).
enrolled(vad,59).
overlap(cp,csd,8).
overlap(cp,icl,43).
overlap(cp,js,14).
overlap(cp,mpdw,17).
overlap(cp,msp,16).
overlap(cp,onl,1).
overlap(cp,pad,4).
overlap(cp,pstr,10).
overlap(cp,ras,7).
overlap(cp,scmu,21).
overlap(cp,tjc,12).
overlap(cp,vad,17).
overlap(csd,icl,10).
overlap(csd,js,2).
overlap(csd,msp,2).
overlap(csd,pad,2).
overlap(csd,pstr,5).
overlap(csd,scmu,6).
overlap(csd,tjc,2).
overlap(csd,vad,2).
overlap(icl,js,30).
overlap(icl,mpdw,16).
overlap(icl,msp,35).
overlap(icl,pad,5).
overlap(icl,pstr,11).
overlap(icl,ras,11).
overlap(icl,scmu,32).
overlap(icl,tjc,10).
overlap(icl,vad,26).
overlap(js,mpdw,5).
overlap(js,msp,22).
overlap(js,pad,2).
overlap(js,pstr,4).
overlap(js,ras,5).
overlap(js,scmu,13).
overlap(js,tjc,5).
overlap(js,vad,12).
overlap(mpdw,msp,10).
overlap(mpdw,pad,3).
overlap(mpdw,pstr,6).
overlap(mpdw,ras,1).
overlap(mpdw,scmu,7).
overlap(mpdw,tjc,3).
overlap(mpdw,vad,7).
overlap(ms,msp,1).
overlap(msp,pad,4).
overlap(msp,pstr,10).
overlap(msp,ras,10).
overlap(msp,scmu,31).
overlap(msp,tjc,3).
overlap(msp,vad,25).
overlap(onl,ras,1).
overlap(pad,pstr,5).
overlap(pad,ras,3).
overlap(pad,scmu,1).
overlap(pad,tjc,3).
overlap(pad,vad,6).
overlap(pstr,scmu,7).
overlap(pstr,tjc,2).
overlap(pstr,vad,1).
overlap(ras,scmu,7).
overlap(ras,tjc,1).
overlap(ras,vad,5).
overlap(scmu,tjc,5).
overlap(scmu,vad,16).
overlap(tjc,vad,6).
